start,end,tID,notes,TAG,TIME,X,Y,NBS,VARX,VARY,COVXY,SD,Timestamp,bird_id,date,long,lat,ID,gps_mean_x,gps_mean_y,n,error_dist
2020/08/21 17:05:43.750+00,2020/08/21 17:05:43.750+00,WP072,,31001001060,1598029543750,650522.316419818,5901740.41220235,"5",10.7929,20.2175,12.5485,7.49048730056997,2020/08/21 17:05:43.750+00,"1060",2020/08/21,5.25578620178785,53.2435668414115,14,650528.175175278,5901748.08845346,"14",9.65659601852858
2020/08/21 17:05:44.750+00,2020/08/21 17:05:44.750+00,WP072,,31001001060,1598029544750,650522.316419818,5901740.41220235,"5",14.6768,21.5155,14.8453,8.11682819825577,2020/08/21 17:05:44.750+00,"1060",2020/08/21,5.2558727486749,53.2436563739505,14,650528.175175278,5901748.08845346,"14",9.65659601852858
2020/08/21 17:05:45.750+00,2020/08/21 17:05:45.750+00,WP072,,31001001060,1598029545750,650523.465739104,5901741.12770979,"5",13.3712,21.31,14.0095,7.9183457868421,2020/08/21 17:05:45.750+00,"1060",2020/08/21,5.25573501546327,53.243530104118,14,650528.175175278,5901748.08845346,"14",8.40420975292418
2020/08/21 17:05:46.750+00,2020/08/21 17:05:46.750+00,WP072,,31001001060,1598029546750,650523.465739104,5901741.12770979,"5",12.2337,22.853,14.5493,8.01157287927907,2020/08/21 17:05:46.750+00,"1060",2020/08/21,5.25580374944406,53.2435729423604,14,650528.175175278,5901748.08845346,"14",8.40420975292418
2020/08/21 17:05:47.750+00,2020/08/21 17:05:47.750+00,WP072,,31001001060,1598029547750,650523.465739104,5901741.12770979,"5",15.57,25.8126,17.4774,8.7371276744706,2020/08/21 17:05:47.750+00,"1060",2020/08/21,5.25580374944406,53.2435729423604,14,650528.175175278,5901748.08845346,"14",8.40420975292418
2020/08/21 17:05:48.750+00,2020/08/21 17:05:48.750+00,WP072,,31001001060,1598029548750,650523.465739104,5901741.12770979,"4",26.1467,83.462,42.4011,13.9431309252979,2020/08/21 17:05:48.750+00,"1060",2020/08/21,5.25580374944406,53.2435729423604,14,650528.175175278,5901748.08845346,"14",8.40420975292418
2020/08/21 17:05:49.750+00,2020/08/21 17:05:49.750+00,WP072,,31001001060,1598029549750,650523.465739104,5901741.12770979,"5",14.6214,25.4734,16.8699,8.59270620933824,2020/08/21 17:05:49.750+00,"1060",2020/08/21,5.25580374944406,53.2435729423604,14,650528.175175278,5901748.08845346,"14",8.40420975292418
2020/08/21 17:05:50.750+00,2020/08/21 17:05:50.750+00,WP072,,31001001060,1598029550750,650523.465739104,5901741.12770979,"5",8.91796,17.9887,10.5637,6.93066086315006,2020/08/21 17:05:50.750+00,"1060",2020/08/21,5.25590778407115,53.2436416114676,14,650528.175175278,5901748.08845346,"14",8.40420975292418
2020/08/21 17:05:51.749+00,2020/08/21 17:05:51.749+00,WP072,,31001001060,1598029551749,650523.465739104,5901745.21197704,"5",11.1169,21.5338,13.0362,7.66309989495113,2020/08/21 17:05:51.749+00,"1060",2020/08/21,5.25578397131937,53.2435696609869,14,650528.175175278,5901748.08845346,"14",5.5184151450517
2020/08/21 17:05:52.749+00,2020/08/21 17:05:52.749+00,WP072,,31001001060,1598029552749,650529.24573067,5901748.98427936,"5",9.85069,20.2579,12.0715,7.36556786677036,2020/08/21 17:05:52.749+00,"1060",2020/08/21,5.25589457480605,53.243652605631,14,650528.175175278,5901748.08845346,"14",1.39592008501629
2020/08/21 17:05:53.749+00,2020/08/21 17:05:53.749+00,WP072,,31001001060,1598029553749,650529.24573067,5901749.49333879,"5",11.0126,18.8546,11.7967,7.31167559455423,2020/08/21 17:05:53.749+00,"1060",2020/08/21,5.25580071009572,53.2436097216884,14,650528.175175278,5901748.08845346,"14",1.76629318674354
2020/08/21 17:05:54.749+00,2020/08/21 17:05:54.749+00,WP072,,31001001060,1598029554749,650530.009107359,5901749.49333879,"5",10.12,19.0484,11.5245,7.22616080640336,2020/08/21 17:05:54.749+00,"1060",2020/08/21,5.25590568122024,53.2436462282507,14,650528.175175278,5901748.08845346,"14",2.3101968857575
2020/08/21 17:05:55.749+00,2020/08/21 17:05:55.749+00,WP072,,31001001060,1598029555749,650530.009107359,5901749.49333879,"6",5.99125,14.0633,5.95805,5.65425945637446,2020/08/21 17:05:55.749+00,"1060",2020/08/21,5.25590568122024,53.2436462282507,14,650528.175175278,5901748.08845346,"14",2.3101968857575
2020/08/21 17:05:56.749+00,2020/08/21 17:05:56.749+00,WP072,,31001001060,1598029556749,650526.151339527,5901743.31661597,"6",11.788,23.849,14.4138,8.02898499189032,2020/08/21 17:05:56.749+00,"1060",2020/08/21,5.25583172210144,53.2435920933226,14,650528.175175278,5901748.08845346,"14",5.18327543226288
2020/08/21 17:05:57.749+00,2020/08/21 17:05:57.749+00,WP072,,31001001060,1598029557749,650526.151339527,5901743.31661597,"5",10.2349,23.442,13.3174,7.76606077751134,2020/08/21 17:05:57.749+00,"1060",2020/08/21,5.25584443671248,53.2435811895143,14,650528.175175278,5901748.08845346,"14",5.18327543226288
2020/08/21 17:05:58.749+00,2020/08/21 17:05:58.749+00,WP072,,31001001060,1598029558749,650527.500293393,5901745.6447464,"5",14.9806,25.1729,16.7885,8.58664660970742,2020/08/21 17:05:58.749+00,"1060",2020/08/21,5.25586629621417,53.2436123710692,14,650528.175175278,5901748.08845346,"14",2.53518634325419
2020/08/21 17:05:59.749+00,2020/08/21 17:05:59.749+00,WP072,,31001001060,1598029559749,650527.500293393,5901745.6447464,"5",13.616,26.0063,16.7917,8.55603295926331,2020/08/21 17:05:59.749+00,"1060",2020/08/21,5.2558786048504,53.2436266672008,14,650528.175175278,5901748.08845346,"14",2.53518634325419
2020/08/21 17:06:00.749+00,2020/08/21 17:06:00.749+00,WP072,,31001001060,1598029560749,650524.34788863,5901742.87262762,"5",12.0785,24.2502,15.1587,8.16370626615142,2020/08/21 17:06:00.749+00,"1060",2020/08/21,5.25581778306325,53.243588365298,14,650528.175175278,5901748.08845346,"14",6.46938655309406
2020/08/21 17:06:01.749+00,2020/08/21 17:06:01.749+00,WP072,,31001001060,1598029561749,650524.34788863,5901742.87262762,"5",13.5292,25.7205,16.5291,8.50340520027124,2020/08/21 17:06:01.749+00,"1060",2020/08/21,5.25581778306325,53.243588365298,14,650528.175175278,5901748.08845346,"14",6.46938655309406
2020/08/21 17:06:02.749+00,2020/08/21 17:06:02.749+00,WP072,,31001001060,1598029562749,650524.34788863,5901742.87262762,"4",23.8486,41.6895,29.0471,11.1190062505603,2020/08/21 17:06:02.749+00,"1060",2020/08/21,5.25581778306325,53.243588365298,14,650528.175175278,5901748.08845346,"14",6.46938655309406
2020/08/21 17:06:03.749+00,2020/08/21 17:06:03.749+00,WP072,,31001001060,1598029563749,650531.318492522,5901751.349712,"5",21.016,28.7672,20.9829,9.57856983061668,2020/08/21 17:06:03.749+00,"1060",2020/08/21,5.25592616487355,53.2436625311603,14,650528.175175278,5901748.08845346,"14",4.52948678814372
2020/08/21 17:06:04.749+00,2020/08/21 17:06:04.749+00,WP072,,31001001060,1598029564749,650531.318492522,5901751.349712,"5",15.0629,29.2127,18.7622,9.04433524367601,2020/08/21 17:06:04.749+00,"1060",2020/08/21,5.25592616487355,53.2436625311603,14,650528.175175278,5901748.08845346,"14",4.52948678814372
2020/08/21 17:06:05.749+00,2020/08/21 17:06:05.749+00,WP072,,31001001060,1598029565749,650526.644018322,5901740.29001162,"5",20.9156,27.4821,19.9684,9.39864351914679,2020/08/21 17:06:05.749+00,"1060",2020/08/21,5.25585094407872,53.2435645171096,14,650528.175175278,5901748.08845346,"14",7.94733520494696
2020/08/21 17:06:06.749+00,2020/08/21 17:06:06.749+00,WP072,,31001001060,1598029566749,650525.527573404,5901740.29001162,"5",11.2792,20.7083,12.4746,7.54564112584212,2020/08/21 17:06:06.749+00,"1060",2020/08/21,5.25575922412681,53.2435379756391,14,650528.175175278,5901748.08845346,"14",8.23562328670752
2020/08/21 17:06:07.749+00,2020/08/21 17:06:07.749+00,WP072,,31001001060,1598029567749,650522.541263188,5901739.29448226,"5",6.1429,16.6591,7.84446,6.20410509259797,2020/08/21 17:06:07.749+00,"1060",2020/08/21,5.25583482237789,53.2435761535244,14,650528.175175278,5901748.08845346,"14",10.4438927087108
2020/08/21 17:06:08.749+00,2020/08/21 17:06:08.749+00,WP072,,31001001060,1598029568749,650522.541263188,5901739.29448226,"5",7.78296,19.9562,10.1707,6.93401471010842,2020/08/21 17:06:08.749+00,"1060",2020/08/21,5.25578819173888,53.2435406091573,14,650528.175175278,5901748.08845346,"14",10.4438927087108
